Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2023-03-02,Suvarnabhumi,Train,0.531127128125461,0.43388373911755823,0.8728363339001843,0.6559220584611335,0.40578357639645823,0.4796334057893397,0.02206275451432061,1.0
2023-03-03,Suvarnabhumi,Train,0.8354038335838059,-0.433883739117558,0.6590106493989571,0.6150057758893382,0.34161621839377904,0.46327577488555,-0.09725490085114291,1.0
2023-03-04,Suvarnabhumi,Train,0.07165708293535003,-0.9749279121818236,0.2077934026881017,0.21065663047394984,0.3762036116856496,0.49741861175382424,0.3462667861723661,0.0
2023-03-05,Suvarnabhumi,Train,-0.03424913315456918,-0.7818314824680299,-0.0108840801648551,0.059827980993606526,0.3706283303789,0.4799902995545134,0.6047917150172768,0.0
2023-03-06,Suvarnabhumi,Train,0.07695239373984598,0.0,0.5051393302441032,0.7317375232265189,0.3530248958825903,0.46946193348189247,0.8016395291809547,0.0
2023-03-07,Suvarnabhumi,Train,0.5608623349507076,0.7818314824680298,0.30690871187343555,0.4617702862577129,0.30258924924653424,0.3755393909470401,0.8089273585828118,1.0
2023-03-08,Suvarnabhumi,Train,0.48306199928465154,0.9749279121818236,0.24695434652706227,0.5688746729897651,0.3539024864586524,0.3923133979101998,0.9029890221314892,1.0
2023-03-09,Suvarnabhumi,Train,0.4757300304784264,0.43388373911755823,0.44206595167161805,0.5456085515273718,0.4159016795087069,0.38184451413177434,0.8393745623100599,1.0
2023-03-10,Suvarnabhumi,Train,0.43947751804764634,-0.433883739117558,0.8912038562317321,0.84526015036199,0.439183641261891,0.37375492212117234,0.7915553146634133,1.0
2023-03-11,Suvarnabhumi,Train,-0.11775211122546701,-0.9749279121818236,0.17036524397475886,0.09312260308634189,0.43959662506239083,0.3159381321630493,-0.03678546207164651,0.0
